,CONTENT,DATETIME,DOCID,TYPE
30,“@iloveKNPS: 국립공원별 깃대종. 깃대종이란? 특정지역의 생태·지리·문화적 특성을 반영하는 상징적인 야생 동·식물 또는 생태계의 여러 종 가운데 사람들이 중요하다고 인식http://t.co/CGPvDvTz” #국립공원 #alpineclub,20111229004918,31,REPLY
31,"전교조를 좇아가면 좌익이 보인다 전교조는 좌익의 깃대종이다. 좌익의 흥망성쇠를 가름할 수 있는 상징적 존재이며, 좌익들의 최후의 보루이다. 그러므로 전교조가 무너지면, 좌익들도 무너진... http://t.co/AQ3LSpY8",20120117085002,32,TWEET
32,변산반도국립공원 깃대종 변산바람꽃과 부안종개를 보호합시다. http://t.co/dyYfxgCY,20120127112324,33,TWEET
33,변산바람꽃 일부 자생지 개방 운영: 변산반도국립공원의 깃대종인 변산바람꽃 자생지 보호를 위해 http://t.co/Vur5HCdr,20120217154147,34,TWEET
34,"깃대종이란 특정지역의 생태,지리, 문화적 특성을 반영하는 상징적인 야생 동,식물로써 사람들이 보호해야 할 필요성을 인정하는 종... 북한산의 깃대종인 오색딱다구리 http://t.co/tB6lY0k2",20120218175316,35,TWEET
35,속리산국립공원 깃대종 하늘다람쥐입니다~~ 큰눈망울이 귀엽죠 ^^ http://t.co/ZZoGbS1e,20120226162649,36,TWEET
36,지역아동센터 아이들을 대상으로 방과후 돌피니 환경교실 프로그램을 운영했어요. 깃대종 그림을 이용한 색모래그림액자 만들기~아이들이 너무 재미있어 했답니다. http://t.co/YhKkrQVe,20120322131103,37,TWEET
37,가야산 국립공원의 깃대종인 삵의 행동권을 모니터링 중입니다*^^* http://t.co/yIJ6wapo,20120324200927,38,TWEET
38,아이들 눈으로 보는 깃대종은 어떤 모습 일까요? 손으로 직접 만든 엽서 나도 그려보고 싶다 ㅎ http://t.co/uCTX1bW7,20120326133500,39,TWEET
39,가야산 국립공원의 깃대종 가야산은분취는 가야산에서 처음 확인되어 '가야산'이라는 지명이 붙었습니다^^* 잎 뒷면과 꽃은 뽀얀 은가루를 뿌려놓은듯 하답니다~ http://t.co/Pw5YyJNj,20120326164843,40,TWEET
40,"가야산 국립공원의 깃대종 삵은 고양이와 매우 닮았지만 귀 뒷면이 황색이고, 코에서 이마까지 두개의 하얀 줄무늬가 특징입니다~^^* http://t.co/iNWhCgjU",20120326165004,41,TWEET
41,변산반도국립공원 깃대종 엽서 만들기!!! 아이들 솜씨가 예사롭지 않아요^^ http://t.co/MvQLJVmz,20120406234947,42,TWEET
42,주왕산국리공원 깃대종 http://t.co/NfOfomPe,20120408134435,43,TWEET
43,[한국의 인어 : 토종고래 상괭이] 깃대종을 아시나요?!? http://t.co/G3feQ05G,20120409154441,44,TWEET
44,[한국의 인어 : 토종고래 상괭이] 깃대종을 아시나요?!? http://t.co/YPQtXYPW,20120409190009,45,TWEET
